100000 199999
1 2 26946637
1 3 10050941
3 4 15177250
1 5 39325042
3 6 5953232
6 7 56176926
5 8 58350743
2 9 16569253
2 10 77963510
9 11 60093457
6 12 78483931
10 13 98915144
5 14 68339982
1 15 64499043
7 16 3419666
16 17 47217409
8 18 34136684
8 19 56898773
11 20 72437168
18 21 19929625
11 22 83204669
8 23 80497979
14 24 56207699
5 25 36473920
11 26 13213364
23 27 41585795
13 28 19933364
4 29 23181100
6 30 34933425
15 31 98187983
24 32 4625147
30 33 89415859
16 34 22699916
6 35 67087161
2 36 75127794
13 37 20689612
4 38 68995293
2 39 85612115
13 40 42841214
9 41 8965088
35 42 79721530
21 43 85763766
43 44 14657138
2 45 85637087
17 46 26900596
35 47 16753321
4 48 53994088
40 49 37525402
9 50 96480078
5 51 40678280
12 52 8963544
8 53 27558906
36 54 77053216
47 55 12906984
48 56 73130153
23 57 63509443
13 58 39194776
24 59 95068679
2 60 99374884
37 61 68435390
59 62 18562650
11 63 16434978
29 64 26121157
61 65 47448097
27 66 31179807
38 67 25113267
33 68 80065201
33 69 14585846
44 70 32952872
66 71 93026455
57 72 85067795
38 73 13649499
46 74 75072458
68 75 39735404
59 76 72892991
13 77 7355825
2 78 30701907
55 79 62846588
72 80 9693348
34 81 60137653
60 82 54967380
21 83 11703358
26 84 79459442
68 85 11515693
70 86 69984770
18 87 79876955
8 88 50060584
7 89 65505750
77 90 32059175
11 91 91084804
6 92 16798356
1 93 10113033
48 94 18960933
92 95 25488127
62 96 50960919
49 97 54638504
7 98 66012634
45 99 2629880
29 100 10835571
12 101 51676497
29 102 29296269
73 103 55127509
43 104 76057475
10 105 81156176
31 106 67797320
31 107 93148878
7 108 8558211
55 109 32557742
1 110 28693646
110 111 13108835
6 112 49279508
54 113 3651827
41 114 42202059
60 115 80027777
62 116 40778142
110 117 62687957
30 118 38663701
106 119 20735622
44 120 95832600
1 121 7255544
31 122 45076182
20 123 2316121
107 124 75133462
54 125 94732940
63 126 84340655
101 127 84859074
64 128 76677735
126 129 57534400
80 130 32317578
56 131 35497961
63 132 72096917
17 133 80256142
70 134 35421747
80 135 97081821
129 136 31531926
4 137 38362712
90 138 62227478
121 139 1874110
108 140 37519842
8 141 56723450
67 142 71320997
127 143 47808679
99 144 93804652
88 145 57525437
144 146 50317086
97 147 69173723
45 148 35133116
87 149 45839219
43 150 63451911
21 151 84331924
61 152 63776988
32 153 97363923
24 154 27130679
133 155 37197583
152 156 61223204
37 157 60748032
16 158 16683651
98 159 94151099
15 160 68402817
109 161 2864988
26 162 86055406
106 163 3409527
46 164 80236503
137 165 25082180
30 166 66132456
166 167 67943980
114 168 54070419
55 169 75790009
22 170 60361451
135 171 83327943
10 172 12685209
161 173 33359751
54 174 66823289
