100000 199999
1 2 56735365
1 3 28899214
3 4 73535521
3 5 83453181
2 6 85077130
1 7 8460133
4 8 51299293
5 9 42207253
9 10 73878918
4 11 27753346
7 12 72490320
3 13 15305333
13 14 17677078
9 15 93563273
15 16 93217
14 17 1928334
16 18 82101351
17 19 17356857
13 20 30485843
7 21 82570623
9 22 29850836
4 23 94215299
11 24 50690259
9 25 76831483
18 26 53845997
20 27 85586498
2 28 19585405
21 29 98690988
24 30 29132115
11 31 8657724
18 32 85207868
9 33 63124495
27 34 33457821
11 35 25873448
25 36 98867945
25 37 54751433
9 38 42382762
24 39 42750632
26 40 73229979
1 41 78307546
9 42 2589610
5 43 21014803
32 44 83859401
4 45 56129467
3 46 72076242
32 47 66718892
46 48 39185537
13 49 46113681
18 50 25488028
33 51 12461392
15 52 13162160
29 53 3522980
24 54 19260118
6 55 67656542
22 56 6792724
6 57 1521108
31 58 52556559
24 59 30546846
1 60 80527187
21 61 69497507
14 62 24303100
19 63 44679903
27 64 65198015
56 65 41802907
61 66 61260148
6 67 5823520
24 68 30648243
39 69 7377822
36 70 21214312
13 71 3337522
31 72 87062011
56 73 29410033
9 74 47499683
13 75 30556671
6 76 47341791
66 77 7731590
9 78 91791471
44 79 66691327
28 80 11689333
75 81 73736989
71 82 358034
23 83 43177437
15 84 63893997
18 85 41339225
48 86 62276235
21 87 29985898
63 88 12555407
84 89 25342758
12 90 91935617
69 91 82627667
20 92 7546260
38 93 7634497
8 94 55883613
23 95 29523826
79 96 78071505
76 97 82956208
37 98 97580487
82 99 66256224
76 100 36952120
20 101 90733242
41 102 91969994
51 103 67000405
44 104 41341392
6 105 36949791
77 106 54006668
84 107 65471063
1 108 95060029
94 109 40041094
104 110 14082529
108 111 44326941
5 112 49470802
6 113 61262599
103 114 62116473
107 115 28638985
113 116 62272771
20 117 75124425
13 118 88374770
53 119 5578896
21 120 1056074
7 121 91651787
64 122 9068401
68 123 3959315
87 124 57497263
112 125 49303623
87 126 57958166
54 127 50368961
127 128 16726211
51 129 55838340
1 130 94910057
91 131 6948850
108 132 62376422
7 133 99051714
65 134 36997531
41 135 87284654
109 136 39083416
91 137 40855480
135 138 12480683
1 139 66733585
51 140 21456530
124 141 25147137
120 142 60398016
62 143 22233226
58 144 90302955
26 145 84836921
72 146 48289211
41 147 6539801
69 148 17408619
76 149 81598718
36 150 64599411
87 151 75781291
90 152 39529204
40 153 71985252
140 154 12450164
150 155 69253683
44 156 22802855
132 157 78763202
82 158 49714112
71 159 99792757
150 160 56276199
83 161 63530902
19 162 17854197
2 163 95791664
72 164 31310218
158 165 93371206
20 166 10526930
50 167 8128534
5 168 80773851
1 169 13906197
80 170 60178367
1 171 13850239
58 172 76875969
100 173 85093247
55 174 94722128
158 175 61940262
35 176 27879357
156 177 83065381
12 178 86073387
130 179 53642402
174 180 28348638
82 181 99424226
56 182 31713921
54 183 83707705
177 184 74230186
96 185 25240315
69 186 72162261
68 187 36461418
35 188 62756578
66 189 67842069
104 190 1058125
90 191 44567707
161 192 52902900
169 193 47556635
145 194 71736497
29 195 42572161
35 196 17489547
93 197 71645353
134 198 92403342
131 199 94812658
23 200 16986517
80 201 47837666
21 202 10288382
88 203 32381220
68 204 50077892
56 205 83241560
198 206 92285013
93 207 32736136
28 208 60196589
67 209 57724572
90 210 54543078
203 211 1024200
183 212 27694246
140 213 75442527
161 214 62136055
43 215 35049204
120 216 52366637
171 217 51432653
142 218 58189652
148 219 44278376
187 220 96360573
36 221 80575582
208 222 2810609
171 223 17941757
190 224 37015979
46 225 307710
221 226 18998106
148 227 63903822
195 228 24651389
173 229 91395227
50 230 25834487
43 231 336687
192 232 5919993
178 233 62409692
141 234 99812472
172 235 33246075
110 236 51761560
199 237 57687472
140 238 68542161
233 239 63054887
31 240 41764638
4 241 59837572
90 242 71362071
223 243 83021886
112 244 91841629
171 245 22602873
175 246 45017799
188 247 62078776
105 248 61798079
103 249 26661768
56 250 33089289
139 251 12742260
74 252 71537847
69 253 48657022
194 254 25946527
128 255 69248064
110 256 42388524
255 257 63036276
42 258 17739334
68 259 19595071
84 260 68774486
139 261 83469096
142 262 10782123
164 263 42836517
153 264 59447250
89 265 39182088
229 266 41646081
74 267 69596292
74 268 29557923
28 269 28286308
60 270 15302046
112 271 54152207
176 272 31480526
212 273 61811419
195 274 93222376
157 275 30667500
41 276 93021559
104 277 20707236
73 278 33934435
1 279 57749555
120 280 23815775
58 281 54284033
7 282 1661183
269 283 88228914
27 284 96420738
284 285 46903536
16 286 13828820
280 287 92868125
98 288 45525314
46 289 38236942
82 290 55540598
283 291 76008471
46 292 70515606
202 293 14660951
175 294 2044009
168 295 40668148
227 296 92329902
196 297 60452343
220 298 26967631
139 299 25013831
26 300 86915088
236 301 93932345
31 302 74493240
269 303 56752484
99 304 46200936
240 305 17111957
52 306 90744825
220 307 8674482
43 308 4102457
9 309 8124182
114 310 2109391
303 311 15336769
172 312 1059095
177 313 69719452
87 314 9895188
66 315 13794165
139 316 55863226
74 317 92601608
136 318 11544544
57 319 92330176
74 320 16902776
320 321 31019599
27 322 34327672
269 323 48286411
230 324 62010464
56 325 43599330
169 326 93648660
68 327 11126139
184 328 9620864
51 329 63173877
125 330 47031963
240 331 12735382
326 332 57310836
307 333 27813922
27 334 45740097
236 335 75466271
168 336 72292731
94 337 79455255
259 338 90823321
49 339 15466838
201 340 75456678
252 341 22690365
324 342 4494945
266 343 49566094
225 344 39629263
325 345 89444209
219 346 29638371
210 347 6540436
104 348 83731041
259 349 75112344
51 350 93429895
337 351 84540148
294 352 35144412
85 353 68971856
275 354 24855677
37 355 40422749
271 356 11832869
239 357 54486133
190 358 81728334
188 359 81496994
22 360 68034465
229 361 15628995
139 362 8808571
2 363 50407973
23 364 56541109
33 365 96709352
147 366 85077751
125 367 35342453
81 368 45947853
183 369 64197014
366 370 84300594
169 371 801950
182 372 59891462
25 373 47718624
318 374 40706407
239 375 22884129
21 376 77238578
90 377 28941086
286 378 53952765
49 379 21745754
370 380 90099730
269 381 36268053
219 382 36191969
144 383 23138446
324 384 25853972
184 385 53187646
194 386 11789389
142 387 86639166
385 388 75698518
248 389 38467199
67 390 37990508
255 391 56396279
363 392 94472437
253 393 26656951
286 394 195604
188 395 95859818
308 396 75548933
143 397 13260777
351 398 17932749
163 399 59867115
146 400 57506382
41 401 17724939
138 402 54779896
257 403 17101816
301 404 23016481
92 405 18673118
117 406 84891380
395 407 26833112
69 408 49479909
28 409 32989851
29 410 74717135
221 411 12306999
199 412 73697569
268 413 20375040
200 414 76104487
33 415 17381673
38 416 41874842
261 417 88725409
100 418 19518808
91 419 72953218
9 420 82711956
129 421 61851499
255 422 60822385
139 423 38176659
193 424 39684998
259 425 52422234
316 426 78811230
361 427 54361067
207 428 71566781
85 429 16270339
56 430 10625872
206 431 80947797
355 432 79877378
414 433 45084507
177 434 36355932
52 435 51038584
52 436 89757763
250 437 57463923
292 438 49026358
66 439 20868053
422 440 10571042
35 441 96917217
412 442 9665802
259 443 66760704
145 444 53048883
189 445 87142434
23 446 60191412
222 447 91995422
206 448 60422887
271 449 37967595
419 450 44166954
138 451 28312000
330 452 77773891
205 453 25412399
272 454 33660875
279 455 52702287
35 456 45579672
124 457 45609488
120 458 98553158
206 459 25941577
456 460 49386877
452 461 40747321
63 462 70038555
446 463 23071256
362 464 50454706
71 465 20145302
400 466 39843586
193 467 19167123
107 468 8891179
56 469 61898099
101 470 83350867
452 471 41181050
329 472 84046473
305 473 18218422
54 474 21604546
93 475 87094891
344 476 94570910
457 477 3138307
371 478 42873680
217 479 96937719
218 480 17839735
6 481 83692817
49 482 97646232
131 483 53888033
258 484 34239160
406 485 48483109
8 486 90735944
33 487 82973835
141 488 52526089
223 489 63010606
212 490 8148969
149 491 35129269
37 492 97738850
293 493 22869818
280 494 14919061
347 495 50681254
357 496 41882413
475 497 83369737
400 498 21927475
430 499 53345760
216 500 17102026
217 501 69507577
418 502 94105394
15 503 71777438
326 504 94751187
144 505 42122165
329 506 30750389
146 507 43963655
311 508 20185772
168 509 84094973
316 510 71368589
370 511 21805242
176 512 49367720
332 513 69269336
26 514 5409074
423 515 40237651
371 516 35524819
343 517 57917042
429 518 81437411
244 519 49604681
309 520 8720705
350 521 81079772
288 522 6871716
45 523 25981125
163 524 90567611
391 525 81838904
217 526 32709936
496 527 76350857
162 528 53925426
385 529 69670388
189 530 27458639
198 531 76096838
239 532 7540068
515 533 92797138
59 534 9851549
456 535 55420677
200 536 81542596
230 537 17937056
243 538 60274500
217 539 98848023
399 540 27473586
21 541 28778831
21 542 16183246
279 543 69557738
429 544 95750093
13 545 86222218
63 546 74394685
406 547 31509045
324 548 5086018
