100000 199999
1 2 5125322
1 3 14320202
1 4 21661505
2 5 39002605
3 6 89051029
6 7 57814056
5 8 40086915
2 9 67947570
5 10 29064032
9 11 4179855
9 12 5454042
8 13 90634147
3 14 57648432
12 15 45555343
14 16 21977525
2 17 61352023
4 18 88254062
12 19 974652
16 20 2359614
17 21 82570433
20 22 97215919
9 23 84637358
17 24 35188340
14 25 199279
11 26 5064582
19 27 28293599
24 28 36758488
11 29 12522130
15 30 37997004
15 31 59546453
5 32 11620628
3 33 91171022
5 34 90517479
7 35 63729102
12 36 13066965
27 37 94135574
18 38 27132217
28 39 8836624
19 40 56397144
40 41 14918380
1 42 96115151
35 43 82042363
17 44 3675536
19 45 10116011
23 46 96743323
12 47 90010407
3 48 88141195
16 49 12467795
39 50 82375430
30 51 90514341
48 52 39617897
20 53 36928677
8 54 38538369
7 55 55365629
54 56 97412008
15 57 20884064
11 58 62865760
43 59 46260101
38 60 27996140
40 61 64606274
11 62 13535193
40 63 61641632
38 64 94068212
53 65 98560112
26 66 83894244
39 67 6874757
9 68 55632100
48 69 74501918
37 70 75414806
34 71 11242066
60 72 32419076
27 73 8592577
48 74 15128842
38 75 35171907
21 76 72065543
60 77 3551909
60 78 32957877
27 79 67039078
22 80 92523900
16 81 83252962
78 82 48320310
41 83 38404465
74 84 83826357
52 85 3165482
39 86 52401352
30 87 32173638
70 88 23626137
16 89 78572189
75 90 11239277
11 91 9068282
68 92 77074429
1 93 96382161
16 94 95595958
23 95 40843388
30 96 40618005
30 97 48041813
77 98 63758612
86 99 78876740
24 100 89445380
23 101 6452185
91 102 59744558
3 103 5865844
79 104 92486005
35 105 72481992
63 106 70649754
13 107 54409068
50 108 98828137
82 109 70636428
73 110 2355395
88 111 37814619
7 112 39053750
25 113 54840558
36 114 62083875
28 115 99885914
6 116 17544357
79 117 13357630
38 118 99335970
109 119 68563657
22 120 61993775
106 121 91067448
83 122 20967019
38 123 48915090
91 124 18133368
120 125 74156280
124 126 92630043
44 127 62752040
10 128 48618809
52 129 24187521
4 130 73623711
54 131 95071124
113 132 45730965
105 133 74277588
44 134 5221711
25 135 79640795
135 136 85051785
8 137 55903657
59 138 86156373
128 139 89976251
27 140 70397529
102 141 97153604
109 142 7824654
72 143 81620624
13 144 89221395
24 145 79015056
